epoch,train_loss,val_loss,val_acc,val_top5,val_top10,lr
31,2.956494092941284,2.612004518508911,0.7753981358189082,0.9220825565912117,0.9490226364846871,0.001
32,2.942337989807129,2.5922539234161377,0.7782902796271638,0.9229294274300932,0.9494221038615179,0.0009938503261272714
33,2.9271366596221924,2.589249610900879,0.7773954727030625,0.922711051930759,0.9495872170439414,0.0009755527298894295
34,2.9118778705596924,2.577993631362915,0.7861731025299601,0.9265246338215712,0.9521171770972038,0.0009455577588320899
35,2.898087501525879,2.5674521923065186,0.7860985352862849,0.9262956058588548,0.9521438082556591,0.0009046039886902865
36,2.8830385208129883,2.5624241828918457,0.7858695073235685,0.9262423435419441,0.9523462050599201,0.0008536998372026806
37,2.8691246509552,2.5486602783203125,0.7939866844207722,0.9286391478029294,0.9533368841544607,0.0007940987335200905
38,2.8503284454345703,2.507593870162964,0.7998029294274301,0.9312063914780293,0.9551637816245007,0.0007272682546199038
39,2.832808256149292,2.5199217796325684,0.798034620505992,0.9306258322237018,0.9548122503328895,0.0006548539886902865
40,2.814713954925537,2.489333391189575,0.8032170439414115,0.9336511318242343,0.9562876165113182,0.0005786390152875956
41,2.795551061630249,2.4890482425689697,0.8084687083888149,0.9337310252996005,0.956814913448735,0.0005005000000000002
42,2.775690793991089,2.477566957473755,0.8099920106524634,0.9339494007989347,0.9573209054593875,0.000422360984712405
43,2.758305549621582,2.460174798965454,0.8167296937416778,0.9377416777629827,0.9594833555259654,0.00034614601130971394
44,2.737894058227539,2.440152168273926,0.8210918774966711,0.9393395472703062,0.96054327563249,0.0002737317453800965
45,2.7188475131988525,2.4217822551727295,0.823728362183755,0.9405752330226365,0.9611824234354195,0.00020690126647990978
46,2.7020909786224365,2.416348934173584,0.8272756324900133,0.9414540612516644,0.9617043941411452,0.00014730016279731957
47,2.6884329319000244,2.405853748321533,0.8296191744340878,0.9425832223701731,0.96217310252996,9.639601130971382e-05
48,2.6758012771606445,2.3983445167541504,0.8325006657789614,0.9431691078561918,0.9627323568575233,5.54422411679103e-05
49,2.667734146118164,2.395530939102173,0.8328468708388815,0.9435366178428761,0.9629347536617843,2.5447270110570818e-05
50,2.6633551120758057,2.392584800720215,0.8338109187749667,0.9439414114513981,0.9632862849533955,7.149673872728741e-06
